claim_description
Single Vehicle Collision reported on 2015-01-25. Major Damage
Vehicle Theft reported on 2015-01-21. Minor Damage
Multi-vehicle Collision reported on 2015-02-22. Minor Damage
Single Vehicle Collision reported on 2015-01-10. Major Damage
Vehicle Theft reported on 2015-02-17. Minor Damage
Multi-vehicle Collision reported on 2015-01-02. Major Damage
Multi-vehicle Collision reported on 2015-01-13. Minor Damage
Multi-vehicle Collision reported on 2015-02-27. Total Loss
Single Vehicle Collision reported on 2015-01-30. Total Loss
Single Vehicle Collision reported on 2015-01-05. Total Loss
Single Vehicle Collision reported on 2015-01-06. Total Loss
Multi-vehicle Collision reported on 2015-02-15. Major Damage
Single Vehicle Collision reported on 2015-01-22. Total Loss
Parked Car reported on 2015-01-08. Minor Damage
Single Vehicle Collision reported on 2015-01-15. Total Loss
Multi-vehicle Collision reported on 2015-01-29. Major Damage
Multi-vehicle Collision reported on 2015-02-22. Major Damage
Single Vehicle Collision reported on 2015-01-06. Total Loss
Single Vehicle Collision reported on 2015-01-19. Total Loss
Multi-vehicle Collision reported on 2015-02-22. Major Damage
Multi-vehicle Collision reported on 2015-01-01. Minor Damage
Multi-vehicle Collision reported on 2015-02-10. Total Loss
Multi-vehicle Collision reported on 2015-01-11. Major Damage
Single Vehicle Collision reported on 2015-01-19. Total Loss
Single Vehicle Collision reported on 2015-02-24. Minor Damage
Multi-vehicle Collision reported on 2015-01-09. Major Damage
Parked Car reported on 2015-01-28. Minor Damage
Vehicle Theft reported on 2015-01-07. Minor Damage
Single Vehicle Collision reported on 2015-01-08. Minor Damage
Single Vehicle Collision reported on 2015-02-15. Minor Damage
Multi-vehicle Collision reported on 2015-01-18. Major Damage
Multi-vehicle Collision reported on 2015-02-28. Major Damage
Multi-vehicle Collision reported on 2015-02-24. Total Loss
Multi-vehicle Collision reported on 2015-01-09. Major Damage
Single Vehicle Collision reported on 2015-02-12. Total Loss
Single Vehicle Collision reported on 2015-01-24. Major Damage
Single Vehicle Collision reported on 2015-01-09. Total Loss
Parked Car reported on 2015-01-18. Minor Damage
Multi-vehicle Collision reported on 2015-01-21. Major Damage
Single Vehicle Collision reported on 2015-01-08. Major Damage
Single Vehicle Collision reported on 2015-01-03. Minor Damage
Single Vehicle Collision reported on 2015-01-01. Major Damage
Multi-vehicle Collision reported on 2015-01-16. Minor Damage
Single Vehicle Collision reported on 2015-02-10. Total Loss
Single Vehicle Collision reported on 2015-02-14. Minor Damage
Multi-vehicle Collision reported on 2015-02-21. Total Loss
Multi-vehicle Collision reported on 2015-02-18. Total Loss
Multi-vehicle Collision reported on 2015-01-10. Major Damage
Vehicle Theft reported on 2015-02-26. Trivial Damage
Single Vehicle Collision reported on 2015-01-01. Total Loss
Multi-vehicle Collision reported on 2015-01-03. Minor Damage
Vehicle Theft reported on 2015-01-17. Trivial Damage
Vehicle Theft reported on 2015-02-22. Minor Damage
Multi-vehicle Collision reported on 2015-01-27. Major Damage
Parked Car reported on 2015-02-27. Minor Damage
Single Vehicle Collision reported on 2015-01-06. Minor Damage
Multi-vehicle Collision reported on 2015-02-28. Major Damage
Parked Car reported on 2015-02-22. Minor Damage
Single Vehicle Collision reported on 2015-01-07. Total Loss
Multi-vehicle Collision reported on 2015-01-06. Minor Damage
Multi-vehicle Collision reported on 2015-01-10. Major Damage
Multi-vehicle Collision reported on 2015-02-11. Total Loss
Single Vehicle Collision reported on 2015-01-12. Minor Damage
Multi-vehicle Collision reported on 2015-02-06. Major Damage
Multi-vehicle Collision reported on 2015-01-20. Total Loss
Multi-vehicle Collision reported on 2015-02-22. Minor Damage
Single Vehicle Collision reported on 2015-01-30. Minor Damage
Multi-vehicle Collision reported on 2015-02-02. Minor Damage
Single Vehicle Collision reported on 2015-01-10. Major Damage
Parked Car reported on 2015-02-27. Minor Damage
Multi-vehicle Collision reported on 2015-02-20. Major Damage
Single Vehicle Collision reported on 2015-02-08. Total Loss
Single Vehicle Collision reported on 2015-02-11. Minor Damage
Multi-vehicle Collision reported on 2015-02-23. Minor Damage
Multi-vehicle Collision reported on 2015-03-01. Minor Damage
Multi-vehicle Collision reported on 2015-01-15. Total Loss
Multi-vehicle Collision reported on 2015-01-14. Minor Damage
Multi-vehicle Collision reported on 2015-02-17. Total Loss
Vehicle Theft reported on 2015-01-24. Minor Damage
Single Vehicle Collision reported on 2015-01-21. Major Damage
Multi-vehicle Collision reported on 2015-02-19. Minor Damage
Vehicle Theft reported on 2015-01-03. Trivial Damage
Vehicle Theft reported on 2015-01-29. Minor Damage
Vehicle Theft reported on 2015-01-19. Trivial Damage
Multi-vehicle Collision reported on 2015-01-19. Major Damage
Multi-vehicle Collision reported on 2015-02-02. Major Damage
Multi-vehicle Collision reported on 2015-01-30. Minor Damage
Single Vehicle Collision reported on 2015-01-08. Total Loss
Parked Car reported on 2015-01-30. Trivial Damage
